id,lat,lon,height,name,state
1,47.8413,8.8493,478,Aach,Baden-Württemberg
3,50.7827,6.0941,202,Aachen,Nordrhein-Westfalen
11,47.9737,8.5205,680,Donaueschingen (Landeplatz),Baden-Württemberg
44,52.9335,8.237,44,Großenkneten,Niedersachsen
52,53.6623,10.199,46,Ahrensburg-Wulfsdorf,Schleswig-Holstein
61,48.8443,12.6171,339,Aiterhofen,Bayern
70,48.2052,9.0371,712,Albstadt-Ebingen,Baden-Württemberg
71,48.2156,8.9784,759,Albstadt-Badkap,Baden-Württemberg
72,48.2766,9.0001,794,Albstadt-Onstmettingen,Baden-Württemberg
73,48.6159,13.0506,340,Aldersbach-Kriestorf,Bayern
78,52.485,7.9119,65,Alfhausen,Niedersachsen
90,50.7557,9.2583,305,Alsfeld,Hessen
91,50.7446,9.345,300,Alsfeld-Eifa,Hessen
93,50.7691,9.2542,269,Alsfeld-Reibertenrod,Hessen
98,51.189,8.4671,780,Altastenberg,Nordrhein-Westfalen
102,53.8617,8.1266,32,Leuchtturm Alte Weser,Niedersachsen
116,50.9833,12.4333,213,Altenburg,Thüringen
125,47.8342,10.8667,756,Altenstadt,Bayern
126,49.5447,10.2213,330,Uffenheim (Schulstr.),Bayern
129,53.6893,13.242,33,Altentreptow,Mecklenburg-Vorpommern
131,51.088,12.9328,296,Geringswalde-Altgeringswalde,Sachsen
132,49.7725,12.3891,750,Altglashütte,Bayern
142,48.406,11.3117,510,Altomünster-Maisbrunn,Bayern
150,49.7271,8.1169,215,Alzey,Rheinland-Pfalz
151,49.4689,11.8547,383,Amberg-Unterammersricht,Bayern
154,48.0197,12.2924,515,Amerang-Pfaffing,Bayern
161,50.4237,7.4202,75,Andernach,Rheinland-Pfalz
161,50.4238,7.4203,75,Andernach,Rheinland-Pfalz
164,53.0316,13.9907,54,Angermünde,Brandenburg
167,53.8412,13.6846,9,Anklam,Mecklenburg-Vorpommern
169,50.573,13.0053,630,Annaberg-Buchholz,Sachsen
172,52.2486,9.5056,395,Annaturm,Niedersachsen
174,49.1886,7.9766,250,Annweiler-Bindersbach,Rheinland-Pfalz
175,49.2964,10.5751,413,Ansbach,Bayern
177,49.3158,10.5815,418,Ansbach-Hennenbach,Bayern
181,52.8761,11.5042,30,Arendsee,Sachsen-Anhalt
183,54.6792,13.4343,42,Arkona,Mecklenburg-Vorpommern
184,52.6769,12.0077,55,Arneburg,Sachsen-Anhalt
185,54.6289,9.9294,3,Arnis,Schleswig-Holstein
186,51.3773,8.0713,218,Arnsberg,Nordrhein-Westfalen
191,49.9695,9.9113,220,Arnstein-Müdesheim,Bayern
193,51.3845,9.082,232,Arolsen-Neu Berich,Hessen
197,51.3218,9.0558,365,Arolsen-Volkhardinghausen,Hessen
198,51.3745,11.292,164,Artern,Thüringen
202,49.9778,9.1114,110,Aschaffenburg,Bayern
207,51.7498,11.4667,105,Aschersleben,Sachsen-Anhalt
211,50.58,8.4685,200,Aßlar Klein-Altenstädten,Hessen
217,47.8774,11.3642,672,Attenkam,Bayern
221,48.5515,11.7117,483,Au i.d.Hallertau-Günzenhausen,Bayern
222,50.5907,12.714,387,Aue,Sachsen
231,48.3723,10.8948,490,Augsburg (Sankt Stephan),Bayern
232,48.4254,10.942,461,Augsburg,Bayern
238,47.9699,9.6672,560,Aulendorf-Spiegler,Baden-Württemberg
243,53.4621,7.467,4,Aurich,Niedersachsen
257,48.727,8.2458,240,Baden-Baden-Geroldsau,Baden-Württemberg
259,47.8064,7.6387,273,Müllheim,Baden-Württemberg
268,48.5293,8.2727,622,Baiersbronn-Obertal,Baden-Württemberg
273,47.8413,9.6606,467,Baindt,Baden-Württemberg
282,49.8742,10.9206,240,Bamberg,Bayern
283,49.8808,10.8695,382,Bamberg-Altenburg,Bayern
284,49.88,10.88,282,Bamberg (Sternwarte),Bayern
288,53.8409,13.7549,3,Bargischow-Gnevezin,Mecklenburg-Vorpommern
294,52.3199,9.43,110,Barsinghausen-Hohenbostel,Niedersachsen
298,54.3406,12.7108,3,Barth,Mecklenburg-Vorpommern
303,52.0614,13.4996,55,Baruth,Brandenburg
305,53.7333,12.9333,53,Basepohl,Mecklenburg-Vorpommern
314,51.1605,14.5037,232,"Kubschütz, Kr. Bautzen",Sachsen
320,49.9667,11.5197,350,Heinersreuth-Vollhof,Bayern
326,51.7204,8.0577,120,Beckum-Unterberg,Nordrhein-Westfalen
327,53.6234,8.8323,27,Bederkesa,Niedersachsen
330,49.5617,8.9673,450,Beerfelden,Hessen
335,54.3426,10.6018,4,Behrensdorf,Schleswig-Holstein
342,52.317,8.1693,103,Belm,Niedersachsen
348,50.4135,7.5886,127,Bendorf,Rheinland-Pfalz
355,49.6789,8.6276,140,Bensheim,Hessen
361,47.6344,13.0109,550,Berchtesgaden (KKst),Bayern
365,49.3311,11.4303,421,Berg/Oberpfalz,Bayern
368,52.8152,9.9248,70,Bergen,Niedersachsen
377,49.107,7.9967,252,"Bergzabern, Bad",Rheinland-Pfalz
384,48.0409,10.0808,570,Berkheim,Baden-Württemberg
386,51.0454,8.3851,445,"Berleburg, Bad",Nordrhein-Westfalen
390,50.9837,8.3679,610,"Berleburg, Bad-Stünzel",Nordrhein-Westfalen
395,52.4167,13.4833,38,Berlin-Adlershof,Berlin
399,52.5198,13.4054,37,Berlin-Alexanderplatz,Berlin
400,52.6309,13.5022,60,Berlin-Buch,Berlin
402,52.4564,13.2997,55,Berlin-Dahlem (LFAG),Berlin
403,52.4537,13.3017,51,Berlin-Dahlem (FU),Berlin
405,52.45,13.65,37,Berlin-Friedrichshagen,Berlin
407,52.6461,13.2858,48,Berlin-Frohnau,Berlin
408,52.5333,13.3833,35,Berlin-Invalidenstraße,Berlin
410,52.404,13.7309,33,Berlin-Kaniswall,Berlin
416,52.4069,13.4127,47,Berlin-Lichtenrade,Berlin
417,52.4144,13.3036,43,Berlin-Lichterfelde (Süd),Berlin
420,52.5447,13.5598,60,Berlin-Marzahn,Berlin
422,52.5333,13.3833,35,Berlin-Mitte,Berlin
424,52.5,13.4667,36,Berlin-Ostkreuz,Berlin
425,52.4044,13.4838,38,Berlin-Rudow,Berlin
427,52.3807,13.5306,46,Berlin-Schönefeld,Brandenburg
429,52.5667,13.1694,32,Berlin-Spandau,Berlin
430,52.5644,13.3088,36,Berlin-Tegel,Berlin
432,52.6044,13.2952,36,Berlin-Tegeler Fliesstal,Berlin
433,52.4675,13.4021,48,Berlin-Tempelhof,Berlin
434,52.4553,13.4699,35,Berlin-Treptow,Berlin
435,52.4289,13.2327,45,Berlin-Zehlendorf,Berlin
445,51.8218,11.7109,84,Bernburg/Saale (Nord),Sachsen-Anhalt
450,49.9186,7.0664,120,Bernkastel-Kues,Rheinland-Pfalz
460,49.264,6.6868,363,Berus,Saarland
474,48.1252,9.7639,599,Warthausen-Birkenhard,Baden-Württemberg
480,50.9275,8.4935,296,Biedenkopf-Wallau,Hessen
502,49.8747,9.4883,412,Bischbrunn,Bayern
524,51.6333,12.3167,80,Bitterfeld,Sachsen-Anhalt
526,50.6738,11.2805,254,"Blankenburg, Bad",Thüringen
535,50.0372,7.3079,417,Blankenrath,Rheinland-Pfalz
550,50.9041,11.7985,344,Bobeck,Thüringen
553,51.838,6.6107,25,Bocholt (Marienschule),Nordrhein-Westfalen
554,51.8293,6.5365,23,Bocholt-Liedern (Wasserwerk),Nordrhein-Westfalen
555,51.4789,7.2697,101,Bochum,Nordrhein-Westfalen
576,48.6759,8.9732,445,Böblingen,Baden-Württemberg
578,48.9451,11.3667,379,Böhming,Bayern
581,53.9853,11.9981,17,Groß Bölkow-Matersen,Mecklenburg-Vorpommern
588,51.752,9.3953,105,Boffzen,Niedersachsen
591,53.3911,10.6878,45,Boizenburg,Mecklenburg-Vorpommern
592,53.8634,9.7344,10,Bokel,Schleswig-Holstein
596,54.0028,11.1908,15,Boltenhagen,Mecklenburg-Vorpommern
598,50.7285,7.0839,62,Bonn,Nordrhein-Westfalen
599,50.7055,7.1467,62,Bonn-Friesdorf,Nordrhein-Westfalen
601,50.6983,7.0356,158,Bonn-Hardthöhe,Nordrhein-Westfalen
603,50.7349,7.1931,159,Bonn-Roleber,Nordrhein-Westfalen
606,48.0791,10.1977,569,Boos,Bayern
614,51.5709,9.312,240,Borgentreich-Bühne,Nordrhein-Westfalen
617,51.8728,6.8862,48,Borken in Westfalen,Nordrhein-Westfalen
619,53.5788,6.6703,12,Borkum-Süderstraße,Niedersachsen
620,53.8,6.3667,6,Borkumriff,Hamburg
642,53.3517,8.4969,1,Brake,Niedersachsen
643,53.296,8.4529,0,Brake-Süderfeld,Niedersachsen
645,52.4036,7.9724,58,Bramsche,Niedersachsen
648,53.8551,9.7152,9,Brande-Hörnerkirchen,Schleswig-Holstein
649,52.4333,12.45,31,Brandenburg-Briest,Brandenburg
650,52.4136,12.5503,35,Brandenburg-Görden,Brandenburg
652,49.5353,10.7706,384,Hagenbüchach,Bayern
656,51.7234,10.6021,607,Braunlage,Niedersachsen
660,52.2744,10.5656,83,Braunschweig-Gliesmarode,Niedersachsen
661,52.2708,10.5334,75,Braunschweig (T.H.),Niedersachsen
662,52.2914,10.4465,81,Braunschweig,Niedersachsen
685,49.9017,9.4281,585,Breitsol,Bayern
691,53.045,8.7979,4,Bremen,Bremen
691,53.0445,8.7985,4,Bremen,Bremen
699,53.1004,8.7834,4,Bremen-Seefahrtschule,Bremen
701,53.5332,8.5761,7,Bremerhaven,Bremen
702,53.5876,8.6015,8,Bremerhaven-Speckenbüttel,Bremen
703,53.4779,9.1553,5,Bremervörde (A),Niedersachsen
704,53.4451,9.139,10,Bremervörde,Niedersachsen
705,53.5312,9.1664,5,Bremervörde-Niederochtenhausen,Niedersachsen
706,47.8858,7.6611,234,Eschbach,Baden-Württemberg
710,49.025,8.6991,181,Bretten,Baden-Württemberg
717,51.3873,8.5737,443,Brilon,Nordrhein-Westfalen
722,51.7986,10.6183,1134,Brocken,Sachsen-Anhalt
727,49.7345,8.9557,290,Brombachtal-Kirch-Brombach,Hessen
729,50.8282,10.454,600,Brotterode,Thüringen
736,49.6303,7.1148,390,Brücken,Rheinland-Pfalz
738,50.308,9.7835,310,"Brückenau, Bad (A)",Bayern
755,49.5182,9.3213,340,"Buchen, Kr. Neckar-Odenwald",Baden-Württemberg
757,47.9625,7.9983,445,Buchenbach,Baden-Württemberg
760,53.3635,9.9434,82,Rosengarten-Klecken,Niedersachsen
766,50.1746,7.0595,477,Büchel (Flugplatz),Rheinland-Pfalz
769,52.2817,9.0889,68,Bückeburg,Niedersachsen
771,50.2769,9.1167,148,Büdingen,Hessen
772,48.6957,8.1744,190,Bühlertal,Baden-Württemberg
773,48.6743,8.1799,478,Bühlertal-Obertal,Baden-Württemberg
785,54.1333,8.8667,1,Büsum (A),Schleswig-Holstein
788,54.1193,8.8584,3,Büsum,Schleswig-Holstein
793,49.662,7.1098,530,Buhlenberg,Rheinland-Pfalz
807,49.745,10.6434,290,Schlüsselfeld (Kläranlage),Bayern
817,51.0306,8.8146,293,Burgwald-Bottendorf,Hessen
833,50.6897,13.4969,615,Neuhausen/Erzgeb.-Rauschenbach (Talsp.),Sachsen
840,50.4313,12.6114,897,Carlsfeld,Sachsen
848,52.6146,10.0726,38,Celle (Stadt),Niedersachsen
850,52.5959,10.0296,39,Celle,Niedersachsen
851,49.2504,12.604,389,Pemfling-Pitzling,Bayern
853,50.7913,12.872,418,Chemnitz,Sachsen
856,47.8843,12.5404,551,Chieming,Bayern
863,51.7904,10.347,585,Clausthal-Zellerfeld,Niedersachsen
865,52.8441,8.0624,42,Cloppenburg,Niedersachsen
867,50.3067,10.968,345,Lautertal-Oberlauter,Bayern
876,51.3,13.0167,314,Collmberg,Sachsen
879,51.7667,14.2833,68,Cottbus (Flugplatz),Brandenburg
880,51.776,14.3168,69,Cottbus,Brandenburg
881,49.0985,10.0979,423,Crailsheim-Alexandersreut,Baden-Württemberg
888,50.8149,12.3821,269,Crimmitschau,Sachsen
891,53.8713,8.7058,5,Cuxhaven,Niedersachsen
896,51.0778,10.8619,170,Dachwig,Thüringen
906,54.2023,11.0914,8,Dahmeshöved,Schleswig-Holstein
917,49.8809,8.6779,162,Darmstadt,Hessen
918,49.8453,8.624,122,Darmstadt (A),Hessen
919,49.8697,8.6796,169,Darmstadt-Botanischer Garten,Hessen
931,47.8007,9.4108,708,Deggenhausertal-Azenweiler,Baden-Württemberg
948,51.8512,12.2515,60,Dessau,Sachsen-Anhalt
953,49.7619,7.0541,481,Deuselbach,Rheinland-Pfalz
954,54.1667,7.45,0,UFS Deutsche Bucht,Hamburg
963,52.5881,8.3424,39,Diepholz,Niedersachsen
964,50.0832,6.8904,413,Dierfeld,Rheinland-Pfalz
965,51.2401,13.4166,100,Diesbar-Seußlitz,Sachsen
970,49.4158,10.6734,405,Dietenhofen,Bayern
979,50.7364,8.2672,314,Dillenburg,Hessen
982,48.5701,10.4985,420,Dillingen/Donau,Bayern
983,48.5562,10.5599,419,Dillingen/Donau-Fristingen,Bayern
988,52.6746,8.1135,25,Dinklage,Niedersachsen
991,50.9117,13.7087,365,Dippoldiswalde-Reinberg,Sachsen
1000,54.1442,11.8454,3,"Doberan, Bad-Heiligendamm",Mecklenburg-Vorpommern
1001,51.6451,13.5747,97,Doberlug-Kirchhain,Brandenburg
1003,51.1333,13.1167,201,Döbeln,Sachsen
1006,53.1399,11.2544,15,Dömitz,Mecklenburg-Vorpommern
1010,52.9732,7.3209,5,Dörpen (Kläranlage),Niedersachsen
1011,49.6017,7.7413,442,Dörrmoschel-Felsbergerhof,Rheinland-Pfalz
1013,47.6026,8.1697,309,Dogern,Baden-Württemberg
1018,47.9422,8.5046,677,Donaueschingen,Baden-Württemberg
1032,51.512,7.5345,120,Dortmund,Nordrhein-Westfalen
1047,51.0557,13.7274,112,Dresden (Mitte),Sachsen
1048,51.128,13.7543,227,Dresden-Klotzsche,Sachsen
1050,51.0221,13.847,114,Dresden-Hosterwitz,Sachsen
1051,51.024,13.7737,119,Dresden-Strehlen,Sachsen
1052,52.2174,12.1641,80,Drewitz bei Burg,Sachsen-Anhalt
1066,51.504,10.2613,180,Duderstadt,Niedersachsen
1072,49.4719,8.1929,107,"Dürkheim, Bad",Rheinland-Pfalz
1073,49.4686,8.1797,115,"Dürkheim, Bad (Saline)",Rheinland-Pfalz
1074,51.3043,12.081,103,"Dürrenberg, Bad",Sachsen-Anhalt
1078,51.296,6.7686,37,Düsseldorf,Nordrhein-Westfalen
1079,51.1998,6.7574,37,Düsseldorf-Südfriedhof,Nordrhein-Westfalen
1084,51.394,6.7026,31,Duisburg-Friemersheim,Nordrhein-Westfalen
1087,51.4634,6.7321,21,Duisburg-Laar,Nordrhein-Westfalen
1091,51.2806,10.7362,258,Ebeleben,Thüringen
1093,49.46,8.9584,131,Eberbach (LUBW),Baden-Württemberg
1102,48.7201,9.5328,300,Ebersbach/Fils,Baden-Württemberg
1103,48.1002,11.9872,592,Ebersberg-Halbing,Bayern
1106,52.8239,13.7979,45,Eberswalde,Brandenburg
1107,49.852,10.499,346,Ebrach,Bayern
1130,54.6282,9.3648,17,Eggebek,Schleswig-Holstein
1146,48.6593,8.9121,487,Ehningen,Baden-Württemberg
1154,48.3416,12.882,470,Eiberg,Bayern
1161,48.8777,11.2349,384,Eichstätt-Landershofen,Bayern
1169,47.6288,7.5959,264,Eimeldingen,Baden-Württemberg
1172,51.8189,9.8871,123,Einbeck,Niedersachsen
1182,51.5029,11.5705,146,Eisleben-Helfta,Sachsen-Anhalt
1185,54.0,8.1167,0,UFS Elbe 1,Hamburg
1188,50.7041,10.8576,518,Elgersburg,Thüringen
1197,48.9895,10.1312,460,Ellwangen-Rindelbach,Baden-Württemberg
1200,54.0691,9.0106,3,Elpersbüttel,Schleswig-Holstein
1201,50.9281,6.5646,85,Elsdorf/Erftkreis,Nordrhein-Westfalen
1204,53.2346,8.4612,1,Elsfleth,Niedersachsen
1207,50.2705,12.2742,560,"Elster, Bad-Sohl",Sachsen
1214,48.2012,8.1089,440,Elzach-Fisnacht,Baden-Württemberg
1219,53.3449,7.1909,5,Emden-Nesserland,Niedersachsen
1221,53.3707,7.2236,0,Emden-Wolthusen,Niedersachsen
1224,48.1378,7.8351,201,Emmendingen-Mundingen,Baden-Württemberg
1228,54.1651,6.346,0,UFS TW Ems,Hamburg
1229,50.3324,7.6975,90,"Ems, Bad",Rheinland-Pfalz
1238,50.9884,7.425,144,Engelskirchen,Nordrhein-Westfalen
1239,47.8516,8.7673,540,Engen/Hegau,Baden-Württemberg
1243,48.4734,9.3028,705,Eningen,Baden-Württemberg
1246,51.8418,8.0607,104,Ennigerloh-Ostenfelde,Nordrhein-Westfalen
1254,49.1307,8.9165,210,Eppingen,Baden-Württemberg
1255,49.1664,8.8523,220,Eppingen-Elsenz,Baden-Württemberg
1260,49.7333,7.1,816,Erbeskopf,Rheinland-Pfalz
1261,48.3192,11.944,460,Erding,Bayern
1262,48.3477,11.8133,446,München-Flughafen,Bayern
1266,54.2992,9.3162,18,Erfde,Schleswig-Holstein
1270,50.9829,10.9608,316,Erfurt-Weimar,Thüringen
1275,48.3008,13.1398,340,Ering,Bayern
1276,47.6358,9.5392,408,Eriskirch-Mariabrunn,Baden-Württemberg
1279,49.6497,11.0074,268,Möhrendorf-Kleinseebach,Bayern
1280,49.5692,10.9929,280,Erlangen-Bruck,Bayern
1287,49.8589,9.2861,198,Eschau-Hobbach,Bayern
1292,49.7522,11.8222,470,Eschenbach/Oberpfalz,Bayern
1297,51.1834,10.0638,170,Eschwege,Hessen
1297,51.2041,10.0138,156,Eschwege,Hessen
1299,53.6476,7.6085,3,Esens,Niedersachsen
1300,51.254,8.1565,351,Eslohe,Nordrhein-Westfalen
1303,51.404,6.9676,150,Essen-Bredeney,Nordrhein-Westfalen
1303,51.4041,6.9677,150,Essen-Bredeney,Nordrhein-Westfalen
1327,50.7119,6.791,146,Weilerswist-Lommersum,Nordrhein-Westfalen
1329,54.134,10.5865,50,Eutin,Schleswig-Holstein
1332,48.4832,12.724,472,"Falkenberg,Kr.Rottal-Inn",Bayern
1339,52.9157,10.1885,73,Faßberg,Niedersachsen
1341,54.6,11.15,0,Fehmarnbelt,Schleswig-Holstein
1345,53.3346,13.4371,92,Feldberg,Mecklenburg-Vorpommern
1346,47.8749,8.0038,1490,Feldberg/Schwarzwald,Baden-Württemberg
1355,53.9167,7.8333,5,FES Weser,Niedersachsen
1357,49.9807,11.8376,654,Fichtelberg/Oberfranken-Hüttstadl,Bayern
1358,50.4283,12.9535,1213,Fichtelberg,Sachsen
1359,50.0242,11.2219,705,Fichtelberg/Ofr,Bayern
1374,50.5049,10.1671,363,Fladungen-Heufurt,Bayern
1378,54.8086,9.4182,45,Flensburg,Schleswig-Holstein
1379,54.7737,9.3752,41,Flensburg (Schäferhaus),Schleswig-Holstein
1380,54.8147,9.458,19,Flensburg-Mürwik,Schleswig-Holstein
1392,49.7317,12.3491,622,Flossenbürg,Bayern
1402,54.7,7.1667,28,Forschungsplattform Nordsee,Hamburg
1403,50.0616,9.455,260,Frammersbach,Bayern
1410,51.3512,11.0958,130,"Frankenhausen/Kyffhäuser, Bad",Thüringen
1411,50.5309,10.048,745,Birx/Rhön,Thüringen
1415,50.0333,8.5333,100,Frankfurt (07W),Hessen
1416,50.0167,8.5333,97,Frankfurt (18W),Hessen
1420,50.0259,8.5213,100,Frankfurt/Main,Hessen
1421,50.1474,8.6746,125,Frankfurt/Main (Stadt),Hessen
1422,50.0972,8.6936,114,Frankfurt (Henninger Turm),Hessen
1423,50.0496,8.5887,111,Frankfurt/Main (Terminal),Hessen
1424,50.1269,8.6694,124,Frankfurt/Main-Westend,Hessen
1425,50.1213,8.6601,109,Frankfurt/Main (Feldbergstr.),Hessen
1426,52.3397,14.508,65,Frankfurt/Oder,Brandenburg
1428,49.2275,8.0585,230,Frankweiler,Rheinland-Pfalz
1440,48.2018,7.9336,481,Freiamt-Ottoschwanden,Baden-Württemberg
1441,50.9263,13.2711,416,Freiberg,Sachsen
1443,48.0233,7.8344,236,Freiburg,Baden-Württemberg
1447,48.013,7.8588,255,Freiburg im Breisgau-Herdern,Baden-Württemberg
1451,53.8277,9.2493,2,Freiburg/Elbe,Niedersachsen
1468,48.4537,8.4091,797,Freudenstadt,Baden-Württemberg
1473,49.178,11.3735,436,Freystadt-Oberndorf,Bayern
1488,51.6884,11.0394,523,Friedrichsbrunn,Sachsen-Anhalt
1490,47.6454,9.4795,394,Friedrichshafen,Baden-Württemberg
1492,47.7819,7.7348,852,Malsburg-Marzell-Friedrichsheim,Baden-Württemberg
